Feature_ID,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,number_of_papers_1970,number_of_citing_papers_1970,number_of_self_citations_1970,total_number_of_citations_1970,total_number_of_refereed_citations_1970,number_of_papers_1971_1980,number_of_citing_papers_1971_1980,number_of_self_citations_1971_1980,total_number_of_citations_1971_1980,total_number_of_refereed_citations_1971_1980,number_of_papers_1981_1990,number_of_citing papers_1981_1990,number_of_self_citations_1981_1990,total_number_of_citations_1981_1990,total_number_of_refereed_citations_1981_1990,number_of_papers_1991_2000,number_of_citing_papers_1991_2000,number_of_self_citations_1991_2000,total_number_of_citations_1991_2000,total_number_of_refereed_citations_1991_2000,number_of_papers_2001_2010,number_of_citing papers_2001_2010,number_of_self_citations_2001_2010,total_number_of_citations_2001_2010,total_number_of_refereed_citations_2001_2010,number_of_papers_2011_2015,number_of_citing papers_2011_2015,number_of_self_citations_2011_2015,total_number_of_citations_2011_2015,total_number_of_refereed_citations_2011_2015,number_of_papers_2016_2017,number_of_citing papers_2016_2017,number_of_self_citations_2016_2017,total_number_of_citations_2016_2017,total_number_of_refereed_citations_2016_2017,number_of_papers,number_of_citing papers,number_of_self-citations,total_number_of_citations,total_number_of_refereed citations,landing_site
4,Abalos Colles,Mars,235.83,76.83,-71.65,78.78,74.81,-66.61,-75.46,Europe,Roman,"Collis, colles",CO,mc01,Approved,2003,57.0,"Named for classical albedo feature at 72N, 70W.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,138,1,138,120,0,0,0,0,0,2,6,0,6,3,4,144,1,144,123,0
14147,Abalos Mensa,Mars,129.18,81.17,-75.6,82.4,80.21,-69.48,-80.66,Europe,Roman,"Mensa, mensae",MN,mc01,Approved,2006,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,173,1,173,149,5,28,3,32,23,0,0,0,0,0,11,210,10,216,179,0
14148,Abalos Scopuli,Mars,109.16,80.72,-76.56,81.96,80.2,-69.48,-80.53,Europe,Roman,"Scopulus, scopuli",SC,mc01,Approved,2006,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,9,7,1,2,0,2,1,3,10,0,11,8,0
5,Abalos Undae,Mars,442.74,78.52,-87.5,82.2,74.94,-76.97,-98.6,Europe,Roman,"Unda, undae",UN,mc01,Approved,1988,57.0,"Classical albedo feature at 72N, 70W.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,0,43,33,2,4,0,4,4,2,2,0,2,1,6,49,1,49,38,0
6,Aban,Mars,4.28,15.91,111.1,15.94,15.87,111.14,111.06,Europe,Russia,"Crater, craters",AA,mc14,Approved,1988,36.0,Town in Russia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,3,0
25,Abus Vallis,Mars,60.99,-5.49,-147.2,-5.02,-5.99,-147.16,-147.28,Europe,Great Britain,"Vallis, valles",VA,mc16,Approved,1985,56.0,Classical name for Humber River in England.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,8,0,8,6,0
31,Achar,Mars,5.36,45.43,123.16,45.48,45.39,123.23,123.1,South and Central America,Uruguay,"Crater, craters",AA,mc07,Approved,1979,36.0,Town in Uruguay.,0,0,0,0,0,0,0,0,0,0,1,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,3,0
34,Acheron Catena,Mars,421.77,37.47,-100.8,40.7,33.51,-98.29,-103.29,Europe,Greek,"Catena, catenae",CA,mc03,Approved,1979,57.0,"Named for classical albedo feature at 35N, 140W.",0,0,0,0,0,0,0,0,0,0,3,64,1,66,44,0,0,0,0,0,1,42,0,42,38,2,11,0,11,11,1,0,0,0,0,8,115,2,119,93,0
35,Acheron Fossae,Mars,703.11,38.27,-135.02,40.03,31.47,-129.08,-143.1,Europe,Greek,"Fossa, fossae",FO,mc02,Approved,1979,57.0,"From classical albedo feature at 35N, 140W.",0,0,0,0,0,0,0,0,0,0,17,571,6,674,564,12,75,0,76,66,24,1371,38,1785,1507,7,51,0,53,47,3,2,0,2,1,63,1880,92,2590,2185,0
36,Acidalia Colles,Mars,356.3,50.34,-23.09,52.96,48.42,-19.63,-28.23,Europe,Greek,"Collis, colles",CO,mc04,Approved,2000,71.0,From classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,2,431,0,495,438,1,0,0,0,0,8,506,3,570,520,8,144,5,150,131,5,4,0,5,5,24,988,23,1220,1094,0
